Name,Ratings(Reliability),Durability,Power,Control,Feel,Comfort,Spin,Tension Stability,Overall,Performance-Price Ratio
Topspin Cyber Twirl Natural 1.27,12,28,14,21,20,14,27,25,21,
SuperString Viper V2 Terre Mono 1.25,12,20,9,11,4,14,8,5,10,
SuperString Viper V2 Terre Extreme Mono 1.25,12,2,4,19,6,2,30,6,9,
Head Rip Ti.Fiber 16,12,11,15,20,14,19,11,9,14,2.22
Head FiberGel Spin 16,12,4,9,12,8,15,21,8,11,1.78
Pro's Pro Sphere 1.30,12,1,11,11,11,20,8,6,10,
Blindtest String10 1.23,12,6,11,8,1,16,27,9,9,
Head Tournament 15L,12,6,11,7,11,19,4,14,9,4.33
Wilson Sensation NXT 16,12,42,15,26,30,17,14,28,11,1.15
Head FiberGel Blend 17/16,12,5,8,11,1,14,8,9,8,1.22
Pacific Dura Tech 16,12,13,1,6,42,1,7,6,5,
Pro's Pro Formula 16,12,7,7,4,4,18,4,1,1,
MSV Technora NRT 18 1.10,12,21,19,21,12,7,19,42,14,
Mayami Hit Pro 1.25,11,12,13,33,31,27,24,26,24,4.00
Dyreex Starblast X 1.25,11,14,5,24,13,14,31,20,16,1.91
LaserTec Pro Tour 1.20,11,21,6,28,5,19,10,30,15,
Kirschbaum Helix 1.20,11,16,17,19,23,15,22,24,19,
Gamma Ocho 1.25,11,14,3,13,8,8,22,24,12,
Kirschbaum Super Smash Orange 1.23,11,10,8,24,23,14,13,18,16,
Tier One Triumph 1.30,11,8,10,27,28,36,20,28,22,2.46
Dunlop Black Widow 16,11,8,18,17,14,11,36,13,17,1.85
Signum Pro Tornado 1.29,11,11,17,22,14,9,34,21,18,1.73
Völkl Cyclone 18,11,8,13,17,13,13,34,7,15,3.50
Dyreex Starblast X + Titanium Gut 1.25/1.30,11,9,10,10,15,21,22,12,14,2.02
Solinco Vanquish 16,11,5,9,13,17,28,18,9,14,1.54
Pro's Pro Aramid Spin 1.30,11,7,1,14,4,11,10,4,4,
Pro's Pro Nano Cyber Power 1.25,11,5,9,18,14,5,14,14,11,
Wilson Enduro Pro 17,11,21,5,8,4,3,11,9,7,1.25
Signum Pro Plasma HEXtreme Pure 1.25,11,22,13,31,14,9,32,27,21,2.50
SuperString Pure Control Basic 1.25,11,12,3,18,13,10,3,14,9,
MSV Focus-EVO 1.25,11,8,10,6,5,9,8,24,10,1.65
Gamma Live Wire XP 16,11,3,10,14,18,25,5,2,10,1.00
Luxilon Monotec Supersense 16L,11,27,3,24,20,6,7,31,17,1.50
SuperString Nikita Black Star 1.25,11,11,10,19,17,10,17,18,14,
Head Synthetic Gut 1.30,11,3,14,9,15,11,6,2,7,2.50
Gamma TNT 16,11,4,13,25,28,23,9,19,17,2.78
Prince Premier Softflex 16,11,4,14,22,19,25,8,11,14,1.46
SuperString Nikita Red Star 1.25,11,12,6,24,5,13,17,14,6,
Toalson Gold 16,11,42,9,10,6,2,42,4,3,1.43
Pro Supex Big Ace 1.22,11,18,4,19,19,18,13,16,15,
Wilson Super Spin 16,11,4,42,1,4,6,24,9,0,0.17
Gosen OG-Sheep Micro Super JC 16,11,11,19,24,22,25,20,18,17,4.80
MSV Rebound 1.30,11,8,15,15,14,21,3,2,8,
MSV Plasma Poly 1.23,11,5,17,10,4,9,15,25,12,
Mayami Hepta Power 1.24,10,16,21,25,22,25,25,22,22,4.05
Discho Black Mamba Penta 1.25,10,14,17,20,18,18,21,11,17,
Gamma iO 18,10,23,13,28,25,22,22,24,23,
RS Lyon 1.20,10,6,4,27,32,28,18,21,18,
Grapplesnake Hybrid Cube Extra Sharp / Liquid 1.23/1.25,10,32,17,20,18,24,32,22,24,
Solinco Revolution 17,10,16,1,25,10,7,24,23,15,2.20
Polyfibre Black Venom Rough 1.25,10,9,13,13,14,22,25,16,16,1.77
Big Star Alu 1.25,10,14,1,32,17,8,10,34,17,
Head Gravity 17/18,10,3,8,20,4,13,32,14,13,1.00
Gamma Moto 1.14,10,5,22,17,15,1,28,16,15,
Genesis Hexonic 17L,10,26,10,25,22,17,31,19,21,4.35
Double AR Sylikon 1.25,10,16,21,42,15,27,14,19,12,
Signum Pro Poly Megaforce 1.19,10,14,14,25,10,3,11,24,14,2.11
Polystar Profile 1.25,10,7,10,15,10,7,14,8,10,
Gamma Live Wire XP 17,10,11,14,29,24,28,14,7,15,1.50
Pro's Pro Gutex Ultra 1.35,10,12,1,4,18,28,5,9,9,
Kirschbaum Hybrix Spin 1.25/1.25,10,9,18,27,20,22,25,18,20,
Pro Supex Blue Gear 1.23,10,12,42,22,42,3,29,12,11,1.68
Pro's Pro Tristar 1.30,10,16,3,14,14,20,7,6,7,
Unique Tourna Poly Big Hitter Blue 1.25,10,18,8,20,6,10,13,15,13,2.57
Wilson [K] Gut 16,10,6,15,22,20,20,11,20,16,1.07
SuperString Tour Professional 1.20,10,9,3,15,11,3,13,17,10,
Head Master 1.28,10,8,11,7,42,15,1,7,3,1.33
Polystar Energy 16,10,12,13,18,15,20,8,5,13,2.24
Topspin Cyber MAX ROTation 1.31,10,7,11,18,7,13,29,6,11,
Tecnifibre X-Tra Dynamic 1.28,10,6,24,25,25,26,4,4,15,
Pacific Classic Gut 16,10,3,25,27,29,35,11,27,22,1.33
Still in Black Select 16,10,20,13,20,17,17,7,13,15,1.69
Luxilon Big Banger XP 16L,10,19,8,20,15,19,14,12,15,2.00
Still in Black Protect 1.18,10,6,1,17,6,20,14,8,7,
Gosen Polylon 17,10,22,4,18,8,8,13,11,10,4.67
Oehms White Pearl Rough 1.25,10,19,13,18,17,15,29,16,18,
Babolat Hybrid Pro Hurricane + XCel 1.25/1.30,10,12,10,17,14,13,18,10,13,
Kirschbaum Super Smash Spiky 1.225,10,3,13,4,7,8,24,9,4,0.86
Pacific PMX Hybrid 16L,10,2,15,25,20,25,8,18,16,
Ashaway Crossfire II 16/16,10,28,1,22,13,11,25,12,16,2.93
SuperString Extreme Turbo Soft V6 1.25,10,10,13,10,7,11,31,3,11,
RAJ Poly-Twist 1.18,10,5,21,6,13,10,18,6,10,
Kirschbaum Super Smash 1.275,10,16,13,15,17,2,10,14,12,2.57
Pro's Pro Poly Nova Titanium 1.25,10,9,6,42,6,17,14,10,1,
Tecnifibre Competition 1.28,10,11,12,29,28,28,19,19,21,
Target Concept 3 Competition 1.22,10,1,20,21,18,11,12,6,12,
WaveTennis Gold 1.30/1.30,10,11,8,11,13,24,10,10,12,
Yonex Tour Super 850 Soft 16,10,6,14,22,25,28,14,2,16,2.09
Target Topspin Twinflex 1.35,10,2,20,21,17,20,24,16,17,
Babolat RPM Blast Rough 17,9,9,17,14,20,14,30,42,15,1.40
Oehms Black Pearl Rough 1.25,9,9,16,12,9,12,19,8,12,
Kirschbaum Max. Power Rough 1.25,9,12,17,26,19,17,25,19,19,
Pro's Pro Black Force 1.24,9,10,8,12,8,11,12,9,10,
Tennisman Cube S 1.18,9,21,20,17,6,5,34,21,18,
Pro's Pro Kingut 1.25,9,19,9,12,19,25,6,4,7,
Big Star Styx Rough 1.27,9,9,42,14,3,3,30,12,9,
Head T20+ Synthetic Gut 16,9,2,2,5,9,23,3,4,6,
Isospeed Pulse 1.20,9,12,16,12,12,14,11,10,12,2.25
Pro's Pro Intense Heat 1.30,9,25,9,16,20,3,11,21,15,
Yonex Poly Tour Spin G 16L,9,23,6,23,12,19,31,25,20,1.87
Solinco Outlast 16L,9,23,9,12,9,19,6,26,12,2.12
Solinco Tour Bite Diamond Rough 1.25,9,16,14,16,6,11,26,17,15,1.91
WeissCANNON MatchPower 1.25,9,10,2,23,12,14,22,19,14,2.35
Pro's Pro Torpedo 1.10~1.45,9,12,3,11,14,23,17,4,7,
Signum Pro Poly Deluxe 1.25,9,24,14,16,16,19,16,32,19,5.60
Bow Brand Championship Natural Gut 16,9,42,25,33,37,38,20,34,27,1.65
Discho Iontec 1.20,9,16,20,23,23,23,17,19,20,
Wilson Champion's Choice 16/16L,9,10,25,23,28,26,22,21,22,1.14
Luxilon M2 Plus 16,9,14,14,22,23,16,19,14,17,1.25
Kirschbaum Pro Line No. I 1.20,9,21,9,17,9,3,11,2,10,
Sportastic Mighty Blue 1.23,9,7,12,12,14,8,42,42,8,
Polyfibre Poly-Hightec 1.15,9,14,17,9,9,2,23,5,6,1.00
Still in Black Protect 1.30,9,16,12,12,14,19,20,12,15,
361nation 361 17,9,9,5,5,5,3,42,5,1,
Pro's Pro Blast 1.25,9,8,12,12,5,8,14,5,9,
Match Pro Pure-Orange Pentagon 1.25,9,28,42,16,42,11,14,7,11,
SuperString Pure Control Stiff V8 1.20,9,12,8,28,9,8,9,8,12,
Pacific Futura TXT 16L,9,2,2,14,11,25,7,42,8,1.50
Ashaway Dynamite 17,9,14,11,12,12,11,12,26,10,1.75
Polystar Classic 16,9,19,19,12,6,12,10,8,10,
SuperString VooDoo Tour V9 1.20,9,4,6,12,12,12,17,12,11,
SuperString VooDoo Energy V9 1.20,9,6,5,16,9,23,12,42,10,
SuperString Pure Touch 1.25,9,18,3,9,2,42,6,19,8,
Dunlop Plus 200G 1.10,9,26,19,11,12,5,9,14,1,
Babolat Magicforce 15,9,12,9,2,2,9,3,19,7,
Wilson Sensation NXT 17,9,9,20,19,30,25,21,42,15,1.62
Pacific ToughGut 16L,8,2,18,26,35,33,18,36,24,1.13
Pro's Pro Gutex Ultra 1.30,8,4,16,21,26,33,5,16,17,
Völkl V-Torque 17,8,19,23,37,19,12,40,23,18,2.60
LaserTec Super Spin 1.18,8,24,11,12,5,12,32,19,16,
Pro's Pro Red Devil 1.29,8,7,12,19,12,18,19,19,15,
WeissCANNON Scorpion 1.28,8,22,9,16,7,9,7,11,11,1.60
Big Star Alu Soft Spin 1.23,8,25,7,23,4,4,18,22,14,
Gamma Live Wire 17,8,14,19,18,30,30,7,4,13,1.58
Prince Tour XT 18,8,4,14,21,28,28,25,16,18,1.86
Solinco Tour Bite 16,8,28,5,18,2,42,28,20,14,1.67
MSV Focus - HEX® Ultra 1.10,8,14,19,28,25,21,28,25,23,
Tecnifibre X-R3 16,8,6,9,21,19,26,16,16,16,1.84
Polyfibre Tour Player 1.25,8,18,42,33,19,5,7,25,15,
Big Star Potenza NPT 1.23,8,42,11,16,12,6,14,14,10,
Big Star Pandora 1.23,8,14,14,2,9,20,5,6,10,
Babolat Addiction 17,8,2,4,16,14,25,7,14,11,
Genesis Spin X 16,8,18,9,16,14,18,30,16,17,2.40
Pro's Pro Hexaspin 1.30,8,20,11,9,14,9,25,11,14,
Yonex Poly Tour HS 125 1.25,8,19,9,23,21,21,18,26,17,
Pro Supex Synthetic Gut Spiral Flex 16,8,19,14,21,18,28,14,18,19,
Prince Synthetic Gut Multifilament 16,8,14,2,7,16,19,4,9,6,1.00
Tennisoutlet No. 1 1.20,8,28,18,21,25,25,14,23,22,
Polystar Strike 1.25,8,20,12,21,14,18,26,19,19,
Kirschbaum DTB Team #1 1.25,8,16,12,21,12,14,18,23,17,
Solinco Tour Bite Soft 1.30,8,20,9,12,7,11,21,18,14,1.74
Pro's Pro Color Line 1.40,8,16,4,11,9,14,2,18,10,
Isospeed Baseline Spin 1.20,8,5,18,14,12,18,25,8,14,
Babolat Hybrid RPM Blast + VS Team 1.25/1.30,8,25,28,32,32,19,25,25,26,
Genesis Hexonic 16,8,20,5,18,12,10,30,26,17,3.62
Gosen OG-Sheep Micro 18,8,25,11,12,26,26,12,4,10,3.50
Pro's Pro Cyber Power 1.20,8,21,9,16,12,14,14,14,14,
Gamma Live Wire Professional 16,8,4,14,26,33,34,12,9,19,1.35
Gamma TNT 17,8,14,14,9,18,34,22,7,11,1.67
Pro Supex Maxim Touch 16L,8,9,14,19,35,34,4,23,20,
Forten Competition Nylon 15L,8,9,9,7,4,12,11,7,2,
Pro's Pro Spinox 1.25,8,2,2,4,4,7,9,42,3,
Tecnifibre Ruff Code 1.25,8,5,16,21,16,26,18,5,15,
Dunlop Max Comfort 16,8,20,18,25,23,33,14,23,22,4.57
Babolat Pro Hurricane Tour 18,8,4,14,18,14,42,30,8,12,1.12
Pro's Pro Bullet Power 1.33,8,6,12,7,11,25,2,5,9,
Gamma Synthetic Gut w/WG 16,8,4,5,5,11,4,2,42,2,0.53
Sportastic Crazy Classic 1.23,8,3,7,11,12,2,2,19,6,
Sportastic Mighty Blue 1.28,8,2,12,5,4,14,11,12,4,
Signum Pro Tornado/Hyperion 1.23/1.18,8,12,16,23,18,5,32,28,19,
racketservice.de Speed 1.28,8,26,21,19,11,14,30,30,21,
Match Pro Fluo-Yellow 1.25,8,42,11,16,2,42,12,14,7,
Bow Brand Professional Natural Gut 16,8,5,19,26,32,31,11,21,21,1.50
Kirschbaum Pro Line No. I 1.15,8,4,25,19,12,9,22,21,16,
Signum Pro Poly Speed Spin 1.28,8,2,7,21,9,5,37,2,12,
SuperString Terminator V1 18,8,6,19,12,16,16,16,5,11,
SuperString SynGut V4 1.20,8,10,12,18,4,26,12,8,10,
Völkl Catapult F.I.R.E. 1.28/1.22,8,17,19,9,9,16,4,11,4,
Wilson Enduro Tour 17,8,18,18,7,5,11,12,2,10,1.25
Target Concept 3 Tournament 1.28,8,28,25,21,18,14,18,21,20,
Kirschbaum Super Smash 1.225,8,12,16,12,9,5,9,14,11,2.29
Klip Venom 17,8,11,18,30,25,32,21,16,22,2.21
racketservice.de Speed 1.22,8,5,30,16,14,16,26,12,16,
Toalson Leoina 66 15,8,12,12,23,16,9,19,19,16,8.46
Polyfibre Hightec Premium 1.25,8,7,16,14,9,11,9,19,9,1.30
Babolat Attraction Power 17,8,2,14,21,14,35,4,9,13,
Toalson Cyber Nylon Tour 135 L.E.O. 1.35,8,7,11,7,9,2,9,42,1,
Luxilon Big Banger Original 15L,8,34,16,19,7,4,23,32,19,2.25
Toalson Cyber Nylon 15L,8,10,12,7,11,12,5,12,6,
WaveTennis Pure Power 1.25/1.20,8,42,25,12,11,12,19,4,12,
Dyreex Fibermax 1.25,7,2,12,18,34,42,2,4,15,
Head Hawk Touch 17,7,16,8,30,20,6,12,22,16,
Luxilon Element 1.25,7,14,8,20,24,14,14,10,13,1.00
Luxilon Big Banger Alu Power Soft 16L,7,20,16,26,20,12,18,5,17,1.33
Pro's Pro Devil Spin 1.26,7,21,10,26,6,7,32,11,10,
MSV Go Max 1.25,7,17,10,22,24,4,14,20,16,
Signum Pro X-perience 1.18,7,8,24,22,16,20,22,20,19,
Kirschbaum Gut Feeling 1.25,7,10,18,30,40,32,2,24,22,
Big Star Alu Soft 1.25,7,19,12,28,14,10,14,21,17,
Wilson Revolve 1.25,7,22,2,20,6,24,26,18,17,2.40
Toalson Rencon Devil Spin 125 1.25,7,16,4,32,14,2,40,30,19,
Solinco Hyper-G 18,7,6,2,26,20,8,32,20,16,2.00
MSV Focus - HEX® SOFT 1.15,7,22,18,8,16,18,26,20,18,
LaserTec Pro Tour 1.25,7,28,42,24,12,10,6,22,15,
Luxilon 4G 1.30,7,25,4,26,16,14,12,30,18,1.53
Gamma Zo Twist 16,7,7,16,10,6,12,24,9,12,1.70
Dunlop Revolution NT Hybrid 1.31/1.25,7,7,12,8,10,10,32,20,14,
Head Sonic Pro Edge 16,7,14,12,20,12,6,32,21,17,
Golden Set Snake-Bite 17,7,19,12,16,14,16,36,8,17,4.17
Pacific X Force 18,7,4,2,10,10,42,4,2,4,0.46
Klip Armour Pro 17,7,11,24,28,38,38,20,28,27,1.15
Prince Tour XS 17,7,36,24,16,2,6,32,20,13,1.38
Head IntelliTour 16,7,4,2,16,14,22,14,2,10,1.17
MSV Hybrid Focus Hex / Q10 1.18/1.30,7,7,30,18,26,32,28,22,23,
Head Synthetic Gut PPS 16,7,4,2,4,12,10,7,12,4,1.20
Pacific XCite 16L,7,21,30,26,16,4,8,16,17,
Dunlop Silk 16,7,3,10,18,22,34,2,12,14,
MSV Multi Q10 1.30,7,11,22,20,16,38,6,5,14,
Kirschbaum Touch Classic 1.30,7,4,16,16,24,11,16,12,13,
MSV Co-Focus 1.27,7,21,16,16,42,8,14,18,13,2.53
Tecnifibre X.Code 17,7,6,20,22,24,30,22,19,20,
Genesis Xplosion 16,7,14,20,14,16,32,6,26,17,2.42
Wilson Hollow Core 16,7,42,6,7,16,14,8,2,8,
Kirschbaum P² 1.20,7,14,20,22,16,6,14,20,16,
Dunlop Synthetic Gut 16,7,42,8,8,6,9,2,7,3,1.33
Head FXP Power 16,7,6,28,22,14,12,12,12,15,
Tecnifibre NRG2 18,7,2,20,20,24,22,21,8,17,1.85
Ashaway Kevlar 16,7,38,20,22,16,18,26,18,7,
Sportastic Crazy Blue 1.28,7,17,6,8,4,6,4,9,4,
Match Pro Clay-Power Pentatwist 1.28,7,11,2,6,6,12,26,7,6,
Babolat Hybrid Pro Hurricane Tour + VS Team 17/16,7,42,18,24,26,20,22,16,18,
Babolat Tour Prospeed 1.35,7,42,18,12,6,5,42,42,6,
Gamma TNT2 16,7,14,2,20,24,20,20,42,10,1.50
Head FiberGel Power 1.30,7,5,20,16,18,30,6,5,12,1.78
SuperString Tour Players Only V3 1.10,7,12,16,20,10,10,20,14,15,
Klip Optic Nerve 17,7,14,6,14,6,10,9,9,8,
Babolat Challenge Pro 15L,7,4,2,2,8,6,3,11,3,
Pacific Poly Spin 16L,7,2,20,20,12,12,34,14,16,
Isospeed Pulse 1.25,7,11,26,10,18,18,12,12,15,2.75
RAJ Supernova 1.30,7,42,20,14,22,18,12,23,16,
Leopard D-Stroyer 1.28,7,16,18,8,14,22,18,20,17,
Pro's Pro Fire Cable 1.30,7,6,22,2,12,18,8,8,9,
MSV Synthetic Gut Power Plus 1.30,7,42,2,6,8,21,8,7,7,
MSV Titanium 1.30,7,16,16,26,16,17,8,20,17,
Pro's Pro Powercable 1.25,7,9,6,14,4,18,42,9,3,
Head Rip PerfectPower 1.31,7,9,26,8,6,4,42,7,6,0.69
Pacific Futura TS 15L,7,4,2,6,4,9,2,7,1,
WaveTennis Wave Power 1.28/1.20,7,11,28,22,30,22,40,18,24,
WaveTennis Silver Touch 1.25/1.30,7,8,16,34,20,22,14,20,19,
Gamma Synthetic Gut 16,7,8,8,42,4,5,5,14,5,-1.75
MSV Plasma Poly 1.28,7,16,16,26,14,2,22,38,19,
Babolat VS Power 16,7,2,16,24,34,39,11,11,19,0.79
Pro's Pro SynPower 1.29,7,6,14,12,14,18,9,9,7,
Babolat Syntronic 900 Zylon 18,7,20,8,22,2,1,28,1,9,
MSV Co Ultra 1.20,6,9,19,26,28,26,26,22,22,
Grapplesnake Tour Sniper 1.25,6,19,16,30,23,23,28,28,24,
MSV Focus - HEX® PLUS 38 1.25,6,9,14,19,7,12,21,17,14,
LaserTec Super Star 1.20,6,17,5,12,7,12,19,16,12,
Tecnifibre Ice Code 1.20,6,28,14,26,23,19,19,32,23,
Tecnifibre Razor Code 1.20,6,14,19,33,28,12,19,28,22,1.94
Dyreex Whisper 1.25,6,5,42,7,30,42,21,7,21,
Head Hawk 1.20,6,28,28,21,28,33,21,19,25,
Isospeed Cream 1.28,6,7,23,2,16,23,12,20,13,
Tier One Black Knight 1.23,6,22,5,16,9,5,19,9,12,1.89
Polyfibre Black Venom 1.20,6,4,16,14,12,7,16,19,7,0.77
Diadem Solstice Power 16L,6,4,14,16,16,19,33,16,16,1.64
Gamma TNT2 17,6,42,9,14,21,26,2,2,11,1.50
Babolat XCel French Open 17,6,6,12,26,23,30,12,16,18,
Signum Pro Outbreak® 1.24,6,14,19,19,23,26,2,20,13,
Solinco Revolution 16L,6,34,42,23,7,12,19,21,16,2.40
Kirschbaum Synthetic Gut Premium 1.30,6,3,5,14,12,16,12,3,8,
Big Star Nexus 1.24,6,5,9,21,16,7,19,14,13,
Double AR Pura 25 1.25,6,21,12,12,2,9,14,12,12,
Discho Black Mamba Gear Twisted 1.23,6,7,5,21,19,28,33,21,18,
Big Star Alu Soft Rough 1.25,6,14,5,9,9,42,23,11,8,
Babolat Super Fine Play 16,6,9,2,12,9,11,11,14,3,1.25
Dunlop Revolution NT Hybrid 1.26/1.25,6,14,9,16,19,12,26,3,9,
Pro's Pro Ichiban Spin 1.26,6,28,9,21,42,12,21,21,10,
MSV Focus - HEX® PLUS 25 1.25,6,14,19,16,9,16,30,20,18,
Pacific Poly Force Xtreme 16L,6,28,2,28,19,5,19,23,18,1.92
Kirschbaum Touch Titanium 1.30,6,5,16,23,28,9,7,9,13,
Tecnifibre Red Combo 17,6,11,5,16,2,12,5,17,10,
Babolat Hybrid Pro Hurricane + Conquest 1.25/1.30,6,5,14,19,19,23,19,19,17,
Polyfibre Rapid 1.25,6,23,21,21,16,23,26,16,21,2.14
Oehms Gold Clover 1.23,6,23,14,21,19,21,23,19,20,
Still in Black Select 1.25,6,19,7,19,9,2,25,12,11,1.23
Polyfibre TCS 1.30,6,21,16,14,19,12,16,9,15,1.57
Oehms Gold Clover 1.18,6,14,21,21,16,23,26,17,20,
Signum Pro Poly Plasma 1.33,6,25,9,26,19,19,21,42,23,3.67
Pro's Pro Poly Nova 1.25,6,7,16,42,42,2,12,11,5,
Tyger PolyTwister 1.25,6,14,23,14,12,21,35,23,20,
Babolat Syntronic Brio 16,6,6,7,19,14,14,9,11,10,0.93
Wilson Hollow Core Pro 17,6,8,7,2,16,16,2,2,4,0.46
Babolat Hurricane Feel 17,6,17,21,16,19,26,16,2,16,1.53
Kirschbaum Spiky Shark 1.30,6,9,5,19,7,3,33,21,14,1.67
Tecnifibre E-Matrix 16,6,21,9,2,28,30,12,7,10,2.80
Pro's Pro Hot Stuff 1.40,6,14,9,9,14,33,42,8,9,
Wilson Natural Gut 16,6,5,21,33,35,28,5,7,19,0.77
Wilson NXT 15L,6,11,16,19,35,37,42,19,20,1.75
Topspin Energy 1.20,6,7,5,28,26,19,16,17,17,
Dunlop M-Fil Tour 17,6,42,12,9,7,5,7,7,1,0.29
Gamma Zo Power 16L,6,19,16,14,2,8,16,11,12,1.29
Isospeed Tournament 16,6,12,9,9,16,30,9,16,15,
Luxilon Big Banger Alu Touch 16L/16L,6,21,19,28,23,22,19,19,22,2.07
SuperString Tour Players Only V3 1.20,6,19,21,23,14,11,21,23,19,
Tecnifibre Synthetic Gut 1.30,6,11,42,42,9,9,2,6,1,
Target Synthetic Gut TF 1.30,6,8,9,19,12,21,19,9,14,
Signum Pro Poly Power 1.25,6,12,9,42,5,5,7,7,3,
Babolat Super Fine Play 17,6,9,12,16,12,20,17,3,9,3.25
Tecnifibre Promix 1.30,6,11,2,16,12,7,11,22,11,1.60
SuperString Pure Control V8 1.20,6,14,16,21,21,2,9,21,15,
Luxilon Big Banger 5-Star 15L,6,31,5,21,5,12,37,33,20,2.07
Klip Power Play 17,6,7,21,12,42,3,2,16,9,
Gosen Polylon 16,6,28,7,26,9,19,8,21,15,7.00
Kirschbaum Super Smash 1.35,6,7,5,42,2,28,19,14,9,-1.71
Kirschbaum Touch Turbo 1.30,6,28,21,16,16,19,28,22,22,3.88
Babolat Razor Hi-Life 15L,6,14,2,12,7,19,19,21,13,
Pacific Nyltec 15,6,16,5,42,2,14,6,14,7,
Isospeed Platinum 1.28/1.25,6,19,12,26,26,30,9,17,20,
Pro's Pro Flexel 1.33,6,6,9,21,23,26,7,9,13,
Wilson Sensation Ice 16,6,3,2,9,42,37,11,5,7,1.57
Ashaway Vantage Pro 17,6,5,16,19,28,37,4,7,15,2.59
Gosen Tecgut Super Tec AK Pro 16,6,18,2,19,19,14,18,18,15,3.14
Isospeed Titanium 16,6,14,19,19,12,42,42,14,11,
Gamma TNT Pro Plus 17L,6,2,16,37,40,28,33,5,22,2.67
Topspin Poly Polar 15L,6,12,14,7,14,42,4,4,6,1.33
MSV Synthetic Gut Tournament 1.20,6,23,19,28,23,14,42,42,9,
Big Star Sabian 1.27,5,14,11,11,6,14,11,11,11,
Grapplesnake Hybrid Irukandji / Natural Gut 0.90/1.25,5,19,17,34,31,28,14,19,23,
Dyreex Cube Max 1.25,5,25,8,31,28,8,42,28,22,
Isospeed Grey Fire 1.25,5,14,11,31,31,17,20,22,21,
MSV Focus - HEX® SOFT 1.20,5,7,11,14,8,11,17,11,11,
Tennisoutlet White Viper (No. 7) 1.25,5,21,3,17,17,28,22,14,17,
Kirschbaum Gut Feeling 1.30,5,5,20,36,36,31,18,21,22,
Head Sonic Pro 16,5,19,14,42,3,6,3,6,5,0.58
Wilson NXT Duo II 17/16,5,11,17,25,11,6,17,11,11,0.94
Tennisman Spin Machine 1.18,5,23,6,17,8,3,28,18,15,
MSV Hepta-TWIST 1.15,5,18,22,14,14,28,28,7,19,2.45
Grapplesnake CES Neon Dust/ Liquid Neon Dust 1.23/1.25,5,42,14,22,14,20,36,25,25,
Wilson Sensation Control 1.30,5,11,6,25,20,25,8,6,11,
Pro's Pro Interceptor 1.25,5,19,8,22,20,22,11,17,15,
Tier One Black Knight 1.18,5,11,42,17,11,3,14,14,10,1.56
Discho Carbon 8 1.25,5,14,6,14,4,4,28,18,11,
Tennisoutlet No. 2 1.30,5,14,20,22,34,36,6,42,19,
Signum Pro Premium Gut 1.30,5,11,25,20,34,28,22,32,21,
Prince Premier LT 17,5,4,17,28,31,36,8,17,19,1.93
Luxilon 4G Rough 16L,5,33,11,17,14,8,28,11,14,1.18
Discho Iontec Hexa 1.20,5,21,14,25,28,36,22,11,23,
Dyreex Alu Tour 1.25,5,42,25,22,39,28,11,3,18,
Wilson Ripspin 16,5,21,14,20,8,14,20,19,16,2.40
Pro's Pro Strategem 8 1.25,5,25,6,31,17,3,34,22,19,
Pro's Pro Gutex Ultra 1.25,5,6,20,25,34,36,11,5,18,
Gosen Sidewinder 17 17,5,7,11,17,22,17,22,3,14,
Discho Proton 1.25,5,42,6,25,22,8,14,11,11,
Tecnifibre Multifeel 17,5,14,14,25,28,31,17,11,16,2.56
Forten Sweet 17 17,5,3,8,8,20,22,3,3,8,
Toalson Rencon 125 1.25,5,7,11,11,6,6,22,6,8,0.80
Gamma Moto Soft 1.24,5,14,6,6,8,17,20,19,13,
Kirschbaum Pro Line X 17,5,18,8,36,8,42,25,22,15,2.62
Klip Legend 17,5,4,20,14,25,25,18,25,19,1.04
Babolat VS Touch BT7 1.30,5,25,31,31,36,39,17,31,30,1.00
Head FXP Power 17,5,14,34,25,25,22,14,11,17,
Pro Supex Blue Gear Ultra Spin 1.23,5,14,6,17,3,3,31,17,13,
Klip Legend 16,5,21,25,25,39,36,14,25,27,1.46
Wilson Spin Cycle 16L,5,20,17,20,22,8,28,25,20,3.22
Discho Proton 1.20,5,28,17,22,20,11,11,21,19,
Pacific Poly Power Pro Black Series 16L,5,21,14,17,3,8,3,14,11,
Yonex Poly Tour Pro 130 16,5,8,11,22,22,34,25,21,21,3.62
Pacific ToughGut 17,5,9,22,34,34,36,17,28,26,1.23
Oehms Gold Clover Extreme 1.20,5,19,28,17,14,20,34,20,21,
Pro's Pro Ichiban Spin 1.21,5,4,14,14,20,14,22,18,15,
Polyfibre Cobra 1.20,5,20,20,17,28,28,22,20,22,2.07
Pro's Pro Top Spin 1.28~1.33,5,7,6,14,14,8,28,7,10,
Babolat RPM Dual 1.25,5,28,11,20,14,8,8,28,17,
Ashaway MonoGut 16L,5,9,3,25,25,28,14,3,15,5.25
Kirschbaum Pro Line No. I 1.30,5,28,20,6,11,42,11,18,10,
Gosen Polylon Ice 17,5,7,8,42,14,8,3,42,4,-1.67
Tecnifibre TGV 1.35,5,7,6,6,14,31,6,28,12,
Golden Set Hex-Poly 18,5,14,6,31,20,20,28,7,18,6.25
Pro's Pro Poly Spin 1.28,5,11,3,8,8,6,14,8,8,
Prince Recoil 16,5,7,8,17,8,34,17,21,16,0.92
Völkl Gripper 17,5,11,8,22,22,22,14,11,13,1.29
Prince Natural Gut 16,5,3,28,31,39,33,23,33,26,2.11
